Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD),Country
Porsche,911,2022,3,379,331,4,"101,200",Germany
Lamborghini,Huracan,2021,5.2,630,443,2.8,"274,390",Italy
Ferrari,488 GTB,2022,3.9,661,561,3,"333,750",Italy
Audi,R8,2022,5.2,562,406,3.2,"142,700",Germany
McLaren,720S,2021,4,710,568,2.7,"298,000",United Kingdom
BMW,M8,2022,4.4,617,553,3.1,"130,000",Germany
Mercedes-Benz,AMG GT,2021,4,523,494,3.8,"118,500",Germany
Chevrolet,Corvette,2021,6.2,490,465,2.8,"59,900",United States
Ford,Mustang Shelby GT500,2022,5.2,760,625,3.5,"81,000",United States
Nissan,GT-R Nismo,2021,3.8,600,481,2.5,"212,000",Japan
Aston Martin,DB11,2021,5.2,630,516,3.5,"201,495",United Kingdom
Bugatti,Chiron,2021,8,1500,1180,2.4,"3,000,000",France
Dodge,Challenger SRT Hellcat,2022,6.2,717,656,3.5,"61,000",United States
Jaguar,F-Type,2022,3,296,295,5.4,"70,100",United Kingdom
Koenigsegg,Jesko,2021,5,1280,1015,2.5,"2,800,000",Sweden
Lexus,LC 500,2021,5,471,398,4.4,"92,950",Japan
Lotus,Evora GT,2021,3.5,416,317,3.8,"104,450",United Kingdom
Maserati,GranTurismo,2021,4.7,454,384,4.8,"150,000",Italy
Porsche,Boxster,2021,2,300,280,4.7,"62,000",Germany
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505,443,3.8,"78,000",Italy
Ariel,Atom,2021,2,320,243,2.8,"75,000",United Kingdom
Bentley,Continental GT,2021,6,626,664,3.6,"225,000",United Kingdom
McLaren,Artura,2022,3,671,531,3,"225,000",United Kingdom
Mercedes-AMG,SLS AMG,2021,6.2,622,468,3.5,"248,000",Germany
Pagani,Huayra,2021,6,720,737,2.8,"2,800,000",Italy
Polestar,1,2021,2,600,738,4.1,"155,000",Sweden
Rimac,Nevera,2022,Electric,1914,1696,1.85,"2,400,000",Croatia
Porsche,Cayman GT4,2022,4,414,309,3.8,"100,200",Germany
Lamborghini,Aventador SVJ,2021,6.5,759,531,2.8,"517,770",Italy
Ferrari,SF90 Stradale,2021,4,986,590,2.5,"625,000",Italy
Audi,RS7,2022,4,591,590,3.5,"117,000",Germany
McLaren,Artura,2021,3,671,531,3,"225,000",United Kingdom
BMW,M4,2022,3,503,479,3.8,"72,800",Germany
Mercedes-Benz,SLS AMG,2015,6.2,622,468,3.2,"222,000",Germany
Chevrolet,Camaro ZL1,2021,6.2,650,650,3.5,"64,695",United States
Ford,GT,2022,3.5,660,550,3,"500,000",United States
Nissan,370Z Nismo,2021,3.7,350,276,4.5,"45,690",Japan
Porsche,Taycan 4S,2022,Electric Motor,562,479,3.8,"104,000",Germany
Lamborghini,Urus,2021,4,641,626,3.5,"218,000",Italy
Ferrari,Roma,2021,3.9,611,561,3.3,"222,000",Italy
Audi,RS3,2022,2.5,394,369,3.9,"57,000",Germany
McLaren,GT,2021,4,612,465,3.1,"210,000",United Kingdom
BMW,i8,2020,1.5 + Electric,369,420,4.2,"148,500",Germany
